Date	PD	Sex	TrapID	WoY	OLRE
27/03/2018	0	F	61	13	2969
27/03/2018	0	F	60	13	2970
27/03/2018	0	F	74	13	2971
27/03/2018	0	F	73	13	2972
27/03/2018	0	F	72	13	2973
27/03/2018	1	F	71	13	2974
27/03/2018	0	F	70	13	2975
27/03/2018	0	F	84	13	2976
27/03/2018	0	F	83	13	2977
27/03/2018	2	F	82	13	2978
27/03/2018	2	F	81	13	2979
27/03/2018	0	F	80	13	2980
27/03/2018	0	F	94	13	2981
27/03/2018	0	F	93	13	2982
27/03/2018	0	F	92	13	2983
27/03/2018	0	F	91	13	2984
27/03/2018	0	F	90	13	2985
27/03/2018	0	F	104	13	2986
27/03/2018	0	F	103	13	2987
27/03/2018	0	F	102	13	2988
27/03/2018	1	F	101	13	2989
27/03/2018	0	F	100	13	2990
27/03/2018	0	F	124	13	2991
27/03/2018	0	F	123	13	2992
27/03/2018	0	F	122	13	2993
27/03/2018	0	F	121	13	2994
27/03/2018	0	F	120	13	2995
27/03/2018	0	F	134	13	2996
27/03/2018	0	F	133	13	2997
27/03/2018	0	F	132	13	2998
27/03/2018	0	F	131	13	2999
27/03/2018	0	F	130	13	3000
27/03/2018	2	F	144	13	3001
27/03/2018	1	F	143	13	3002
27/03/2018	0	F	142	13	3003
27/03/2018	0	F	141	13	3004
27/03/2018	0	F	140	13	3005
27/03/2018	0	F	154	13	3006
27/03/2018	0	F	153	13	3007
27/03/2018	0	F	151	13	3008
27/03/2018	0	F	150	13	3009
27/03/2018	0	M	14	13	2941
27/03/2018	0	M	13	13	2942
27/03/2018	0	M	12	13	2943
27/03/2018	1	M	11	13	2944
27/03/2018	0	M	10	13	2945
27/03/2018	0	M	24	13	2946
27/03/2018	1	M	23	13	2947
27/03/2018	0	M	22	13	2948
27/03/2018	0	M	21	13	2949
27/03/2018	0	M	20	13	2950
27/03/2018	0	M	34	13	2951
27/03/2018	0	M	33	13	2952
27/03/2018	0	M	32	13	2953
27/03/2018	0	M	31	13	2954
27/03/2018	0	M	30	13	2955
27/03/2018	0	M	44	13	2956
27/03/2018	0	M	43	13	2957
27/03/2018	0	M	42	13	2958
27/03/2018	0	M	41	13	2959
27/03/2018	0	M	40	13	2960
27/03/2018	0	M	54	13	2961
27/03/2018	1	M	53	13	2962
27/03/2018	0	M	52	13	2963
27/03/2018	0	M	51	13	2964
27/03/2018	0	M	50	13	2965
27/03/2018	0	M	64	13	2966
27/03/2018	0	M	63	13	2967
27/03/2018	0	M	62	13	2968
27/03/2018	0	M	61	13	2969
27/03/2018	0	M	60	13	2970
27/03/2018	0	M	74	13	2971
27/03/2018	0	M	73	13	2972
27/03/2018	0	M	72	13	2973
27/03/2018	0	M	71	13	2974
27/03/2018	0	M	70	13	2975
27/03/2018	0	M	84	13	2976
27/03/2018	0	M	83	13	2977
27/03/2018	1	M	82	13	2978
27/03/2018	0	M	81	13	2979
27/03/2018	0	M	80	13	2980
27/03/2018	0	M	94	13	2981
27/03/2018	0	M	93	13	2982
27/03/2018	0	M	92	13	2983
27/03/2018	0	M	91	13	2984
27/03/2018	0	M	90	13	2985
27/03/2018	0	M	104	13	2986
27/03/2018	0	M	103	13	2987
27/03/2018	0	M	102	13	2988
27/03/2018	0	M	101	13	2989
27/03/2018	0	M	100	13	2990
27/03/2018	0	M	124	13	2991
27/03/2018	0	M	123	13	2992
27/03/2018	1	M	122	13	2993
27/03/2018	0	M	121	13	2994
27/03/2018	1	M	120	13	2995
27/03/2018	0	M	134	13	2996
27/03/2018	0	M	133	13	2997
27/03/2018	0	M	132	13	2998
27/03/2018	0	M	131	13	2999
27/03/2018	0	M	130	13	3000
27/03/2018	1	M	144	13	3001
27/03/2018	0	M	143	13	3002
27/03/2018	0	M	142	13	3003
27/03/2018	0	M	141	13	3004
27/03/2018	0	M	140	13	3005
27/03/2018	0	M	154	13	3006
27/03/2018	0	M	153	13	3007
27/03/2018	0	M	151	13	3008
27/03/2018	0	M	150	13	3009
10/04/2018	0	F	14	15	3010
10/04/2018	1	F	13	15	3011
10/04/2018	0	F	12	15	3012
10/04/2018	0	F	11	15	3013
10/04/2018	0	F	10	15	3014
10/04/2018	0	F	24	15	3015
10/04/2018	0	F	23	15	3016
10/04/2018	0	F	22	15	3017
10/04/2018	0	F	21	15	3018
10/04/2018	0	F	20	15	3019
10/04/2018	0	F	34	15	3020
10/04/2018	1	F	33	15	3021
10/04/2018	1	F	32	15	3022
10/04/2018	0	F	31	15	3023
10/04/2018	0	F	30	15	3024
10/04/2018	0	F	44	15	3025
10/04/2018	1	F	43	15	3026
10/04/2018	0	F	42	15	3027
10/04/2018	0	F	41	15	3028
10/04/2018	0	F	40	15	3029
10/04/2018	0	F	54	15	3030
10/04/2018	0	F	53	15	3031
10/04/2018	0	F	52	15	3032
10/04/2018	0	F	51	15	3033
10/04/2018	0	F	50	15	3034
10/04/2018	0	F	64	15	3035
10/04/2018	0	F	63	15	3036
10/04/2018	0	F	62	15	3037
10/04/2018	0	F	61	15	3038
10/04/2018	0	F	60	15	3039
10/04/2018	0	F	74	15	3040
10/04/2018	1	F	73	15	3041
10/04/2018	0	F	72	15	3042
10/04/2018	0	F	71	15	3043
10/04/2018	0	F	70	15	3044
10/04/2018	0	F	84	15	3045
10/04/2018	0	F	83	15	3046
10/04/2018	0	F	82	15	3047
10/04/2018	0	F	81	15	3048
10/04/2018	0	F	80	15	3049
10/04/2018	0	F	94	15	3050
10/04/2018	0	F	93	15	3051
10/04/2018	0	F	92	15	3052
10/04/2018	0	F	91	15	3053
10/04/2018	0	F	90	15	3054
10/04/2018	0	F	104	15	3055
10/04/2018	0	F	103	15	3056
10/04/2018	0	F	102	15	3057
10/04/2018	0	F	101	15	3058
10/04/2018	0	F	100	15	3059
10/04/2018	0	F	124	15	3060
10/04/2018	0	F	123	15	3061
10/04/2018	0	F	122	15	3062
10/04/2018	0	F	121	15	3063
10/04/2018	0	F	120	15	3064
10/04/2018	0	F	134	15	3065
10/04/2018	0	F	133	15	3066
10/04/2018	0	F	132	15	3067
10/04/2018	0	F	131	15	3068
10/04/2018	0	F	130	15	3069
10/04/2018	0	F	144	15	3070
10/04/2018	0	F	143	15	3071
10/04/2018	0	F	142	15	3072
10/04/2018	0	F	141	15	3073
10/04/2018	0	F	140	15	3074
10/04/2018	0	F	154	15	3075
10/04/2018	0	F	153	15	3076
10/04/2018	0	F	152	15	3077
10/04/2018	1	F	151	15	3078
10/04/2018	0	F	150	15	3079
10/04/2018	0	M	14	15	3010
10/04/2018	0	M	13	15	3011
10/04/2018	0	M	12	15	3012
10/04/2018	0	M	11	15	3013
10/04/2018	0	M	10	15	3014
10/04/2018	0	M	24	15	3015
10/04/2018	0	M	23	15	3016
10/04/2018	0	M	22	15	3017
10/04/2018	0	M	21	15	3018
10/04/2018	0	M	20	15	3019
10/04/2018	0	M	34	15	3020
10/04/2018	0	M	33	15	3021
10/04/2018	0	M	32	15	3022
10/04/2018	1	M	31	15	3023
10/04/2018	0	M	30	15	3024
10/04/2018	0	M	44	15	3025
10/04/2018	0	M	43	15	3026
10/04/2018	0	M	42	15	3027
10/04/2018	0	M	41	15	3028
10/04/2018	0	M	40	15	3029
10/04/2018	0	M	54	15	3030
10/04/2018	0	M	53	15	3031
10/04/2018	0	M	52	15	3032
10/04/2018	0	M	51	15	3033
10/04/2018	0	M	50	15	3034
10/04/2018	0	M	64	15	3035
10/04/2018	0	M	63	15	3036
10/04/2018	0	M	62	15	3037
10/04/2018	0	M	61	15	3038
10/04/2018	0	M	60	15	3039
10/04/2018	0	M	74	15	3040
10/04/2018	0	M	73	15	3041
10/04/2018	0	M	72	15	3042
10/04/2018	1	M	71	15	3043
10/04/2018	0	M	70	15	3044
10/04/2018	0	M	84	15	3045
10/04/2018	0	M	83	15	3046
10/04/2018	0	M	82	15	3047
10/04/2018	0	M	81	15	3048
10/04/2018	0	M	80	15	3049
10/04/2018	0	M	94	15	3050
10/04/2018	0	M	93	15	3051
10/04/2018	0	M	92	15	3052
10/04/2018	0	M	91	15	3053
10/04/2018	0	M	90	15	3054
10/04/2018	0	M	104	15	3055
10/04/2018	0	M	103	15	3056
10/04/2018	0	M	102	15	3057
10/04/2018	1	M	101	15	3058
10/04/2018	0	M	100	15	3059
10/04/2018	0	M	124	15	3060
10/04/2018	0	M	123	15	3061
10/04/2018	0	M	122	15	3062
10/04/2018	0	M	121	15	3063
10/04/2018	0	M	120	15	3064
10/04/2018	0	M	134	15	3065
10/04/2018	0	M	133	15	3066
10/04/2018	0	M	132	15	3067
10/04/2018	0	M	131	15	3068
10/04/2018	0	M	130	15	3069
10/04/2018	0	M	144	15	3070
10/04/2018	1	M	143	15	3071
10/04/2018	0	M	142	15	3072
10/04/2018	0	M	141	15	3073
10/04/2018	0	M	140	15	3074
10/04/2018	0	M	154	15	3075
10/04/2018	0	M	153	15	3076
10/04/2018	0	M	152	15	3077
10/04/2018	1	M	151	15	3078
10/04/2018	0	M	150	15	3079
24/04/2018	0	F	14	17	3080
24/04/2018	1	F	13	17	3081
24/04/2018	0	F	12	17	3082
24/04/2018	0	F	11	17	3083
24/04/2018	0	F	10	17	3084
24/04/2018	0	F	24	17	3085
24/04/2018	0	F	23	17	3086
24/04/2018	0	F	22	17	3087
24/04/2018	0	F	21	17	3088
24/04/2018	0	F	20	17	3089
24/04/2018	1	F	34	17	3090
24/04/2018	2	F	33	17	3091
24/04/2018	0	F	32	17	3092
24/04/2018	0	F	31	17	3093
24/04/2018	0	F	30	17	3094
24/04/2018	0	F	44	17	3095
24/04/2018	1	F	43	17	3096
24/04/2018	0	F	42	17	3097
24/04/2018	0	F	41	17	3098
24/04/2018	0	F	40	17	3099
24/04/2018	0	F	54	17	3100
24/04/2018	0	F	53	17	3101
24/04/2018	0	F	52	17	3102
24/04/2018	0	F	51	17	3103
24/04/2018	0	F	50	17	3104
24/04/2018	0	F	64	17	3105
24/04/2018	1	F	63	17	3106
24/04/2018	4	F	62	17	3107
24/04/2018	0	F	61	17	3108
24/04/2018	0	F	60	17	3109
24/04/2018	0	F	74	17	3110
24/04/2018	2	F	73	17	3111
24/04/2018	1	F	72	17	3112
24/04/2018	1	F	71	17	3113
24/04/2018	0	F	70	17	3114
24/04/2018	1	F	84	17	3115
24/04/2018	2	F	83	17	3116
24/04/2018	0	F	82	17	3117
24/04/2018	0	F	81	17	3118
24/04/2018	0	F	80	17	3119
24/04/2018	1	F	104	17	3120
24/04/2018	0	F	103	17	3121
24/04/2018	1	F	102	17	3122
24/04/2018	0	F	101	17	3123
24/04/2018	0	F	100	17	3124
24/04/2018	0	F	124	17	3125
24/04/2018	0	F	123	17	3126
24/04/2018	0	F	122	17	3127
24/04/2018	0	F	121	17	3128
24/04/2018	0	F	120	17	3129
24/04/2018	3	F	134	17	3130
24/04/2018	1	F	133	17	3131
24/04/2018	0	F	132	17	3132
24/04/2018	0	F	131	17	3133
24/04/2018	0	F	130	17	3134
24/04/2018	0	F	144	17	3135
24/04/2018	2	F	143	17	3136
24/04/2018	1	F	142	17	3137
24/04/2018	0	F	141	17	3138
24/04/2018	0	F	140	17	3139
24/04/2018	0	F	154	17	3140
24/04/2018	2	F	153	17	3141
24/04/2018	1	F	152	17	3142
24/04/2018	0	F	151	17	3143
24/04/2018	0	F	150	17	3144
24/04/2018	0	M	14	17	3080
24/04/2018	0	M	13	17	3081
24/04/2018	0	M	12	17	3082
24/04/2018	0	M	11	17	3083
24/04/2018	0	M	10	17	3084
24/04/2018	1	M	24	17	3085
24/04/2018	0	M	23	17	3086
24/04/2018	0	M	22	17	3087
24/04/2018	0	M	21	17	3088
24/04/2018	0	M	20	17	3089
24/04/2018	0	M	34	17	3090
24/04/2018	0	M	33	17	3091
24/04/2018	0	M	32	17	3092
24/04/2018	0	M	31	17	3093
24/04/2018	0	M	30	17	3094
24/04/2018	0	M	44	17	3095
24/04/2018	0	M	43	17	3096
24/04/2018	0	M	42	17	3097
24/04/2018	0	M	41	17	3098
24/04/2018	2	M	40	17	3099
24/04/2018	1	M	54	17	3100
24/04/2018	1	M	53	17	3101
24/04/2018	0	M	52	17	3102
24/04/2018	0	M	51	17	3103
24/04/2018	0	M	50	17	3104
24/04/2018	0	M	64	17	3105
24/04/2018	1	M	63	17	3106
24/04/2018	1	M	62	17	3107
24/04/2018	0	M	61	17	3108
24/04/2018	0	M	60	17	3109
24/04/2018	0	M	74	17	3110
24/04/2018	1	M	73	17	3111
24/04/2018	0	M	72	17	3112
24/04/2018	0	M	71	17	3113
24/04/2018	0	M	70	17	3114
